   0.0000000e+00	   1.0000000e+00	
   2.5000000e+00	   9.8000000e-01	
   5.0000000e+00	   9.5000000e-01	
   7.5000000e+00	   9.1000000e-01	
   1.0000000e+01	   8.5000000e-01	
   1.2500000e+01	   7.8000000e-01	
   1.5000000e+01	   7.0000000e-01	
   1.7500000e+01	   6.2000000e-01	
   2.0000000e+01	   5.0000000e-01	
   2.2500000e+01	   3.9000000e-01	
   2.5000000e+01	   2.7000000e-01	
   2.7500000e+01	   1.6000000e-01	
   3.0000000e+01	   1.1000000e-01	
   3.2500000e+01	   7.0000000e-02	
   3.5000000e+01	   6.0000000e-02	
   3.7500000e+01	   5.0000000e-02	
   4.0000000e+01	   4.0000000e-02	
   4.2500000e+01	   2.0000000e-02	
   4.5000000e+01	   1.0000000e-02	
   4.7500000e+01	   9.4500000e-03	
   5.0000000e+01	   8.9000000e-03	
   5.2500000e+01	   8.3500000e-03	
   5.5000000e+01	   7.8000000e-03	
   5.7500000e+01	   7.2500000e-03	
   6.0000000e+01	   6.7000000e-03	
   6.2500000e+01	   6.1500000e-03	
   6.5000000e+01	   5.6000000e-03	
   6.7500000e+01	   5.0500000e-03	
   7.0000000e+01	   4.5000000e-03	
   7.2500000e+01	   3.9500000e-03	
   7.5000000e+01	   3.4000000e-03	
   7.7500000e+01	   2.8500000e-03	
   8.0000000e+01	   2.3000000e-03	
   8.2500000e+01	   1.7500000e-03	
   8.5000000e+01	   1.2000000e-03	
   8.7500000e+01	   6.5000000e-04	
   9.0000000e+01	   1.0000000e-04	
