   4.2025297e-01	   2.0201613e+02	   1.7220631e-01	   1.7056387e+02	   2.6720995e-02	   3.7159781e+01	   2.5743487e-01	   1.8927612e+02	   1.2871743e-01	   5.6782837e+02	
   4.0574527e-01	   1.9802179e+02	   1.5711981e-01	   1.6878004e+02	   2.7249533e-02	   3.5933720e+01	   2.3870025e-01	   1.8645568e+02	   1.1935012e-01	   5.5936705e+02	
   3.8605321e-01	   1.9425660e+02	   1.4191256e-01	   1.6700881e+02	   2.7249533e-02	   3.4765649e+01	   2.2286715e-01	   1.8363176e+02	   1.1143358e-01	   5.5089528e+02	
   3.6609410e-01	   1.9070709e+02	   1.2522693e-01	   1.6525256e+02	   2.7464863e-02	   3.3652019e+01	   2.0613363e-01	   1.8095093e+02	   1.0306681e-01	   5.4285280e+02	
   3.4870386e-01	   1.8736098e+02	   1.0973278e-01	   1.6351332e+02	   2.8012978e-02	   3.2589547e+01	   1.9264982e-01	   1.7834948e+02	   9.6324910e-02	   5.3504845e+02	
   3.3526577e-01	   1.8420701e+02	   1.0091205e-01	   1.6179277e+02	   2.9579017e-02	   3.1575193e+01	   1.7968867e-01	   1.7579932e+02	   8.9844337e-02	   5.2739795e+02	
   3.2514203e-01	   1.8123230e+02	   9.7285090e-02	   1.6009232e+02	   3.1145058e-02	   3.0606135e+01	   1.7214890e-01	   1.7256808e+02	   8.6074450e-02	   5.1770425e+02	
   3.1800123e-01	   1.7842107e+02	   9.8044535e-02	   1.5841311e+02	   3.4981855e-02	   2.9679755e+01	   1.6905515e-01	   1.6991055e+02	   8.4527575e-02	   5.0973165e+02	
   3.1397823e-01	   1.7575887e+02	   1.0470722e-01	   1.5675611e+02	   4.1833281e-02	   2.8793618e+01	   1.7091841e-01	   1.6804900e+02	   8.5459207e-02	   5.0414701e+02	
   3.1417346e-01	   1.7323189e+02	   1.1812945e-01	   1.5512204e+02	   4.9722207e-02	   2.7945462e+01	   1.7765882e-01	   1.6652512e+02	   8.8829410e-02	   4.9957536e+02	
